Benchmark,Query,Datafusion,DuckDB
tpch,1,18.0,7.92,2.27x slower
tpch,2,7.63,1.62,4.7x slower
tpch,3,7.55,7.73,1.02x faster
tpch,4,3.79,6.96,1.84x faster
tpch,5,14.21,7.64,1.86x slower
tpch,6,4.3,4.67,1.09x faster
tpch,7,26.61,21.94,1.21x slower
tpch,8,9.57,9.99,1.04x faster
tpch,9,19.72,29.31,1.49x faster
tpch,10,12.26,12.31,1.0x faster
tpch,11,12.09,0.96,12.57x slower
tpch,12,5.43,5.4,1.01x slower
tpch,13,19.87,8.78,2.26x slower
tpch,14,5.95,5.54,1.07x slower
tpch,16,3.63,1.27,2.85x slower
tpch,17,67.02,14.05,4.77x slower
tpch,18,60.6,22.74,2.66x slower
tpch,19,10.71,8.42,1.27x slower
tpch,20,12.52,8.88,1.41x slower
tpch,21,35.81,24.79,1.45x slower
tpch,22,10.26,2.74,3.74x slower
h2o,1,2.36,4.2,1.78x faster
h2o,2,2.99,4.92,1.64x faster
h2o,3,4.54,5.72,1.26x faster
h2o,4,2.92,4.54,1.55x faster
h2o,5,3.89,5.97,1.53x faster
h2o,6,10.44,6.26,1.67x slower
h2o,7,4.34,5.37,1.24x faster
h2o,8,8.28,9.69,1.17x faster
h2o,9,13.42,5.35,2.51x slower
h2o,10,12.74,26.43,2.08x faster
clickbench,1,1.3,1.76,1.36x faster
clickbench,2,0.38,2.42,6.38x faster
clickbench,3,1.15,3.41,2.97x faster
clickbench,4,1.13,3.33,2.94x faster
clickbench,5,21.9,10.4,2.11x slower
clickbench,6,19.64,14.24,1.38x slower
clickbench,7,0.32,3.67,11.64x faster
clickbench,8,0.4,2.42,6.04x faster
clickbench,9,29.39,17.95,1.64x slower
clickbench,10,28.44,16.47,1.73x slower
clickbench,11,4.59,4.95,1.08x faster
clickbench,12,4.89,5.72,1.17x faster
clickbench,13,12.29,12.28,1.0x slower
clickbench,14,28.58,16.92,1.69x slower
clickbench,15,13.73,13.45,1.02x slower
clickbench,16,14.73,11.12,1.32x slower
clickbench,17,31.35,24.07,1.3x slower
clickbench,18,32.36,24.59,1.32x slower
clickbench,19,97.67,41.72,2.34x slower
clickbench,20,0.85,2.95,3.48x faster
clickbench,25,6.18,10.42,1.69x faster
clickbench,26,5.22,8.02,1.54x faster
clickbench,27,6.96,17.79,2.55x faster
clickbench,28,27.0,25.35,1.07x slower
clickbench,29,105.75,65.12,1.62x slower
clickbench,30,6.01,19.59,3.26x faster
clickbench,31,13.36,15.53,1.16x faster
clickbench,32,16.29,18.88,1.16x faster
clickbench,33,99.17,70.27,1.41x slower
clickbench,36,28.74,11.82,2.43x slower
clickbench,37,0.66,2.23,3.36x faster
clickbench,38,0.35,2.05,5.85x faster
clickbench,39,0.35,2.12,6.0x faster
clickbench,40,2.17,2.7,1.25x faster
clickbench,41,0.21,1.93,9.31x faster
clickbench,42,0.18,1.95,10.58x faster
clickbench,43,0.19,1.93,9.96x faster
